LocationID,taxiName,mapName,Borough,xID
1,Newark Airport,None,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Upper_West_Side
2,Jamaica Bay,Arverne,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Arverne
3,Allerton/Pelham Gardens,Allerton,Bronx,http://nyc.pediacities.com/Resource/Neighborhood/Allerton
4,Alphabet City,Stuyvesant Town,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Stuyvesant_Town
5,Arden Heights,Eltingville,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Eltingville
6,Arrochar/Fort Wadsworth,Fort Wadsworth,Staten Island,http://nyc.pediacities.com/Resource/Neighborhood/Fort_Wadsworth
7,Astoria,Ditmars Steinway,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway
8,Astoria Park,Ditmars Steinway,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Ditmars_Steinway
9,Auburndale,Bay Terrace,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace
10,Baisley Park,Springfield Gardens,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Springfield_Gardens
11,Bath Beach,Bensonhurst,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst
12,Battery Park,Financial District,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Financial_District
13,Battery Park City,Financial District,Manhattan,http://nyc.pediacities.com/Resource/Neighborhood/Financial_District
14,Bay Ridge,Fort Hamilton,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Fort_Hamilton
15,Bay Terrace/Fort Totten,Bay Terrace,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace
16,Bayside,Bay Terrace,Queens,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace
17,Bedford,Bedford-Stuyvesant,Brooklyn,http://nyc.pediacities.com/Resource/Neighborhood/Bedford_Stuyvesant
